NO2,NO,CO,NH3,V0,V1,V2,V3,V4,V5,tf
0,75,0,100,-7.034e-02,6.245e-04,-7.095e-02,-3.546e-02,1.185e-02,-4.731e-02,1857
0,75,0,125,-8.021e-02,3.240e-04,-8.054e-02,-4.228e-02,1.398e-02,-5.626e-02,1878
0,75,0,150,-8.763e-02,1.175e-04,-8.774e-02,-4.844e-02,1.584e-02,-6.428e-02,1898
0,75,0,175,-9.343e-02,6.518e-04,-9.409e-02,-5.376e-02,1.742e-02,-7.118e-02,1918
0,75,0,200,-9.822e-02,1.323e-03,-9.956e-02,-5.876e-02,1.885e-02,-7.762e-02,1938
0,100,0,50,-3.973e-02,9.216e-03,-4.899e-02,-1.908e-02,6.889e-03,-2.597e-02,1958
0,100,0,75,-5.676e-02,3.355e-03,-6.012e-02,-2.739e-02,9.561e-03,-3.695e-02,1978
0,100,0,100,-6.858e-02,2.712e-03,-7.131e-02,-3.496e-02,1.198e-02,-4.694e-02,1998
0,100,0,125,-7.844e-02,1.963e-03,-8.040e-02,-4.164e-02,1.407e-02,-5.571e-02,2018
0,100,0,150,-8.647e-02,1.279e-03,-8.775e-02,-4.767e-02,1.589e-02,-6.356e-02,2038
0,100,0,175,-9.244e-02,2.197e-03,-9.463e-02,-5.281e-02,1.743e-02,-7.025e-02,2058
0,100,0,200,-9.783e-02,1.674e-03,-9.952e-02,-5.769e-02,1.882e-02,-7.651e-02,2079
0,125,0,50,-3.909e-02,1.055e-02,-4.966e-02,-1.923e-02,7.167e-03,-2.640e-02,2099
0,125,0,75,-5.485e-02,7.476e-03,-6.226e-02,-2.714e-02,9.727e-03,-3.687e-02,2119
0,125,0,100,-6.769e-02,4.037e-03,-7.174e-02,-3.449e-02,1.211e-02,-4.661e-02,2139
0,125,0,125,-7.782e-02,2.470e-03,-8.031e-02,-4.130e-02,1.422e-02,-5.552e-02,2159
0,125,0,150,-8.516e-02,2.713e-03,-8.787e-02,-4.719e-02,1.602e-02,-6.321e-02,2179
0,125,0,175,-9.137e-02,3.116e-03,-9.450e-02,-5.204e-02,1.752e-02,-6.957e-02,2199
0,125,0,200,-9.711e-02,2.781e-03,-9.988e-02,-5.688e-02,1.891e-02,-7.579e-02,2219
0,150,0,50,-3.873e-02,1.166e-02,-5.042e-02,-1.935e-02,7.425e-03,-2.678e-02,2239
0,150,0,75,-5.392e-02,8.748e-03,-6.266e-02,-2.705e-02,9.960e-03,-3.702e-02,2259
0,150,0,100,-6.586e-02,8.244e-03,-7.413e-02,-3.430e-02,1.230e-02,-4.660e-02,2280
0,150,0,125,-7.526e-02,7.511e-03,-8.281e-02,-4.074e-02,1.435e-02,-5.509e-02,2300
0,150,0,150,-8.426e-02,4.069e-03,-8.833e-02,-4.650e-02,1.612e-02,-6.262e-02,2320
0,150,0,175,-9.143e-02,3.023e-03,-9.446e-02,-5.179e-02,1.769e-02,-6.948e-02,2340
0,150,0,200,-9.722e-02,2.705e-03,-9.994e-02,-5.644e-02,1.903e-02,-7.547e-02,2360
0,175,0,50,-3.874e-02,1.252e-02,-5.125e-02,-1.972e-02,7.734e-03,-2.746e-02,2380
0,175,0,75,-5.365e-02,9.791e-03,-6.341e-02,-2.723e-02,1.023e-02,-3.747e-02,2400
0,175,0,100,-6.588e-02,8.512e-03,-7.438e-02,-3.439e-02,1.256e-02,-4.695e-02,2420
0,175,0,125,-7.544e-02,7.436e-03,-8.289e-02,-4.069e-02,1.456e-02,-5.525e-02,2440
0,175,0,150,-8.470e-02,3.461e-03,-8.817e-02,-4.646e-02,1.633e-02,-6.279e-02,2460
0,175,0,175,-9.135e-02,3.277e-03,-9.463e-02,-5.147e-02,1.784e-02,-6.930e-02,2481
0,175,0,200,-9.640e-02,3.920e-03,-1.003e-01,-5.598e-02,1.916e-02,-7.513e-02,2501
0,200,0,50,-3.814e-02,1.406e-02,-5.220e-02,-2.000e-02,8.004e-03,-2.801e-02,2521
0,200,0,75,-5.263e-02,1.170e-02,-6.434e-02,-2.735e-02,1.048e-02,-3.783e-02,2541
0,200,0,100,-6.522e-02,9.232e-03,-7.445e-02,-3.430e-02,1.275e-02,-4.705e-02,2561
0,200,0,125,-7.457e-02,8.770e-03,-8.334e-02,-4.035e-02,1.470e-02,-5.506e-02,2581
0,200,0,150,-8.338e-02,6.486e-03,-8.980e-02,-4.611e-02,1.648e-02,-6.259e-02,2601
0,200,0,175,-8.921e-02,7.393e-03,-9.663e-02,-5.104e-02,1.797e-02,-6.900e-02,2621
0,200,0,200,-9.614e-02,3.956e-03,-1.001e-01,-5.557e-02,1.929e-02,-7.485e-02,2641
0,94,0,98,-6.867e-02,5.267e-04,-6.920e-02,-3.273e-02,1.140e-02,-4.413e-02,2661
0,98,0,149,-8.649e-02,1.580e-04,-8.664e-02,-4.585e-02,1.547e-02,-6.132e-02,2682
0,143,0,52,-4.148e-02,9.460e-03,-5.089e-02,-1.963e-02,7.472e-03,-2.711e-02,2702
0,169,0,75,-5.423e-02,9.435e-03,-6.362e-02,-2.707e-02,1.013e-02,-3.720e-02,2722
0,168,0,195,-9.658e-02,2.688e-03,-9.927e-02,-5.512e-02,1.883e-02,-7.394e-02,2742
0,189,0,97,-6.394e-02,9.015e-03,-7.294e-02,-3.321e-02,1.237e-02,-4.558e-02,2762
0,104,0,172,-9.260e-02,3.589e-04,-9.297e-02,-5.089e-02,1.702e-02,-6.791e-02,2782
0,109,0,130,-8.011e-02,9.634e-04,-8.109e-02,-4.122e-02,1.420e-02,-5.543e-02,2802
0,171,0,85,-5.919e-02,8.472e-03,-6.763e-02,-2.974e-02,1.108e-02,-4.083e-02,2822
0,162,0,140,-8.181e-02,3.267e-03,-8.507e-02,-4.360e-02,1.541e-02,-5.901e-02,2842
0,113,0,125,-7.845e-02,1.183e-03,-7.966e-02,-3.997e-02,1.384e-02,-5.382e-02,2862
0,195,0,115,-7.087e-02,8.623e-03,-7.953e-02,-3.764e-02,1.384e-02,-5.148e-02,2883
0,193,0,61,-4.509e-02,1.238e-02,-5.746e-02,-2.315e-02,9.020e-03,-3.217e-02,2903
0,197,0,62,-4.587e-02,1.204e-02,-5.791e-02,-2.349e-02,9.144e-03,-3.263e-02,2923
0,162,0,104,-6.792e-02,7.038e-03,-7.496e-02,-3.508e-02,1.270e-02,-4.778e-02,2943
0,65,0,154,-8.944e-02,-1.253e-03,-8.820e-02,-4.733e-02,1.556e-02,-6.289e-02,2963
0,54,0,140,-8.530e-02,-1.378e-03,-8.394e-02,-4.377e-02,1.442e-02,-5.819e-02,2983
0,172,0,117,-7.174e-02,8.658e-03,-8.043e-02,-3.808e-02,1.380e-02,-5.189e-02,3003
0,178,0,92,-6.118e-02,1.012e-02,-7.131e-02,-3.164e-02,1.177e-02,-4.341e-02,3023
0,178,0,95,-6.308e-02,8.875e-03,-7.196e-02,-3.236e-02,1.198e-02,-4.435e-02,3043
0,85,0,85,-6.298e-02,1.073e-03,-6.407e-02,-2.860e-02,9.952e-03,-3.855e-02,3063
0,94,0,120,-7.707e-02,1.150e-03,-7.823e-02,-3.834e-02,1.315e-02,-5.148e-02,3084
0,160,0,101,-6.640e-02,7.819e-03,-7.423e-02,-3.382e-02,1.231e-02,-4.614e-02,3104
0,162,0,107,-6.802e-02,7.738e-03,-7.575e-02,-3.551e-02,1.285e-02,-4.837e-02,3124
0,79,0,101,-7.037e-02,7.068e-04,-7.107e-02,-3.309e-02,1.135e-02,-4.445e-02,3144
0,193,0,177,-8.991e-02,7.036e-03,-9.699e-02,-5.091e-02,1.789e-02,-6.880e-02,3164
0,181,0,156,-8.393e-02,6.950e-03,-9.093e-02,-4.657e-02,1.652e-02,-6.309e-02,3184
0,89,0,86,-6.237e-02,1.904e-03,-6.428e-02,-2.874e-02,1.008e-02,-3.882e-02,3204
0,145,0,148,-8.201e-02,6.591e-03,-8.861e-02,-4.509e-02,1.571e-02,-6.081e-02,3224
0,99,0,93,-6.484e-02,2.213e-03,-6.706e-02,-3.100e-02,1.088e-02,-4.188e-02,3244
100,125,0,150,-5.625e-02,1.995e-02,-7.622e-02,-3.516e-02,9.030e-03,-4.419e-02,3275
100,100,0,100,-2.541e-02,2.658e-02,-5.198e-02,-1.419e-02,-6.784e-04,-1.351e-02,3295
144,99,0,113,-1.053e-02,3.677e-02,-4.729e-02,-6.489e-03,-5.642e-03,-8.490e-04,3315
75,100,0,50,2.230e-03,3.153e-02,-2.929e-02,1.639e-03,-4.717e-03,6.355e-03,3335
63,53,0,98,-4.658e-02,1.395e-02,-6.052e-02,-2.506e-02,6.249e-03,-3.131e-02,3355
100,75,0,75,-5.757e-03,3.140e-02,-3.717e-02,-1.841e-03,-5.052e-03,3.207e-03,3375
125,100,0,100,-1.128e-02,3.431e-02,-4.560e-02,-6.328e-03,-4.851e-03,-1.482e-03,3395
125,75,0,75,7.527e-03,3.845e-02,-3.093e-02,5.170e-03,-7.783e-03,1.295e-02,3415
125,150,0,50,2.549e-02,4.857e-02,-2.308e-02,1.317e-02,-8.767e-03,2.193e-02,3435
121,91,0,142,-4.230e-02,2.474e-02,-6.704e-02,-2.730e-02,3.459e-03,-3.076e-02,3455
122,119,0,52,2.333e-02,4.581e-02,-2.245e-02,1.245e-02,-8.740e-03,2.119e-02,3476
66,108,0,147,-7.032e-02,1.254e-02,-8.287e-02,-4.191e-02,1.355e-02,-5.546e-02,3496
50,100,0,125,-6.664e-02,1.046e-02,-7.708e-02,-3.757e-02,1.245e-02,-5.003e-02,3516
149,107,0,117,-1.089e-02,3.758e-02,-4.846e-02,-7.196e-03,-5.597e-03,-1.603e-03,3536
132,126,0,96,-3.723e-03,3.855e-02,-4.228e-02,-2.849e-03,-6.025e-03,3.170e-03,3556
75,75,0,50,1.731e-03,2.962e-02,-2.790e-02,2.160e-03,-4.959e-03,7.118e-03,3576
75,100,0,125,-5.617e-02,1.619e-02,-7.237e-02,-3.309e-02,9.303e-03,-4.240e-02,3596
150,100,0,125,-1.687e-02,3.561e-02,-5.248e-02,-1.058e-02,-4.669e-03,-5.918e-03,3616
107,138,0,145,-4.990e-02,2.306e-02,-7.294e-02,-3.208e-02,7.003e-03,-3.909e-02,3636
146,76,0,128,-2.158e-02,3.319e-02,-5.476e-02,-1.297e-02,-3.722e-03,-9.256e-03,3656
