CH4/ppm,N2O/ppm,NO/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,time
2500.000,0.000,0.000,115.000,0.000,-2.266e-02,-6.468e-03,151539.480000
2500.000,0.000,0.000,125.000,0.000,-2.289e-02,-6.528e-03,153343.620000
2500.000,0.000,0.000,135.000,0.000,-2.306e-02,-6.563e-03,155147.760000
2500.000,0.000,0.000,145.000,0.000,-2.328e-02,-6.585e-03,156951.900000
2500.000,0.000,0.000,155.000,0.000,-2.343e-02,-6.593e-03,158756.040000
2500.000,0.000,0.000,165.000,0.000,-2.355e-02,-6.593e-03,160560.180000
2500.000,0.000,0.000,175.000,0.000,-2.364e-02,-6.590e-03,162364.320000
2500.000,0.000,0.000,195.000,0.000,-2.379e-02,-6.557e-03,164168.460000
2500.000,0.000,0.000,205.000,0.000,-2.382e-02,-6.498e-03,165972.600000
2500.000,0.000,0.000,215.000,0.000,-2.383e-02,-6.459e-03,167776.740000
2500.000,0.000,0.000,225.000,0.000,-2.391e-02,-6.415e-03,169580.880000
2500.000,0.000,0.000,235.000,0.000,-2.391e-02,-6.373e-03,171385.020000
2500.000,0.000,0.000,245.000,0.000,-2.395e-02,-6.333e-03,173189.160000
2500.000,0.000,0.000,255.000,0.000,-2.392e-02,-6.292e-03,174993.300000
3000.000,0.000,0.000,0.000,0.000,-1.472e-02,-1.332e-03,176797.440000
3000.000,0.000,0.000,75.000,0.000,-2.222e-02,-5.619e-03,178601.580000
3000.000,0.000,0.000,85.000,0.000,-2.277e-02,-5.893e-03,180405.720000
3000.000,0.000,0.000,95.000,0.000,-2.328e-02,-6.089e-03,182209.860000
3000.000,0.000,0.000,105.000,0.000,-2.364e-02,-6.213e-03,184014.000000
3000.000,0.000,0.000,115.000,0.000,-2.396e-02,-6.297e-03,185818.140000
3000.000,0.000,0.000,125.000,0.000,-2.424e-02,-6.344e-03,187622.280000
3000.000,0.000,0.000,135.000,0.000,-2.449e-02,-6.398e-03,189426.420000
3000.000,0.000,0.000,145.000,0.000,-2.463e-02,-6.380e-03,191230.560000
3000.000,0.000,0.000,155.000,0.000,-2.482e-02,-6.402e-03,193034.700000
3000.000,0.000,0.000,165.000,0.000,-2.497e-02,-6.386e-03,194838.840000
3000.000,0.000,0.000,175.000,0.000,-2.499e-02,-6.342e-03,196642.980000
3000.000,0.000,0.000,195.000,0.000,-2.517e-02,-6.277e-03,198447.120000
3000.000,0.000,0.000,205.000,0.000,-2.521e-02,-6.235e-03,200251.260000
3000.000,0.000,0.000,215.000,0.000,-2.526e-02,-6.198e-03,202055.400000
